description,Price,URL
"5bdrm House in Parliament Green, Syokimau for sale","KSh 18,500,000",https://jiji.co.ke/syokimau-mulolongo/houses-apartments-for-sale/5bdrm-house-in-parliament-green-syokimau-for-sale-ud1mdEZNjY6OHLm2txXgk3Sw.html?page=1&pos=1&cur_pos=1&ads_per_page=24&ads_count=3585&lid=fPzPVK1VChoqHPwr&indexPosition=0
8bdrm Mansion in Shelly Beach for sale,"KSh 80,000,000",https://jiji.co.ke/shelly-beach/houses-apartments-for-sale/8bdrm-mansion-in-shelly-beach-for-sale-b7xN8hytvi1lYWeLTVKJgnYq.html?page=1&pos=4&cur_pos=4&ads_per_page=24&ads_count=3585&lid=fPzPVK1VChoqHPwr&indexPosition=3
"3bdrm House in Kipkenyo, Eldoret CBD for sale","KSh 8,500,000",https://jiji.co.ke/kimumu/houses-apartments-for-sale/3bdrm-house-in-kipkenyo-eldoret-cbd-for-sale-crCXfK7nsjYjzBtxj3WIvEnE.html?page=1&pos=7&cur_pos=7&ads_per_page=24&ads_count=3585&lid=fPzPVK1VChoqHPwr&indexPosition=6
"5bdrm House in Ngecha Rd, Kitisuru for Sale","KSh 128,000,000",https://jiji.co.ke/kitisuru/houses-apartments-for-sale/5bdrm-house-in-ngecha-rd-kitisuru-for-sale-3n9SupM4MdHSGy8GRswOazmf.html?page=1&pos=10&cur_pos=10&ads_per_page=24&ads_count=3585&lid=fPzPVK1VChoqHPwr&indexPosition=9
5bdrm Apartment in State House Area for sale,"KSh 34,500,000",https://jiji.co.ke/state-house-area/houses-apartments-for-sale/5bdrm-apartment-in-state-house-area-for-sale-tXBKkZRk4wKaKWcqrD53LYnf.html?page=1&pos=13&cur_pos=13&ads_per_page=24&ads_count=3585&lid=fPzPVK1VChoqHPwr&indexPosition=12
5bdrm Maisonette in Thome for sale,"KSh 42,500,000",https://jiji.co.ke/thome/houses-apartments-for-sale/5bdrm-maisonette-in-thome-for-sale-44m3XyQBNTw9dQGVoJCmlYYu.html?page=1&pos=16&cur_pos=16&ads_per_page=24&ads_count=3585&lid=fPzPVK1VChoqHPwr&indexPosition=15
"3bdrm Apartment in First Avenue, Parklands/Highridge for sale","KSh 14,000,000",https://jiji.co.ke/parklands-highridge/houses-apartments-for-sale/3bdrm-apartment-in-first-avenue-parklands-highridge-for-sale-1iekRGKQnp8wPfvIVqNsEZqJ.html?page=1&pos=19&cur_pos=19&ads_per_page=24&ads_count=3585&lid=fPzPVK1VChoqHPwr&indexPosition=18
"3bdrm Apartment in Iregi Square, Parklands/Highridge for sale","KSh 21,500,000",https://jiji.co.ke/parklands-highridge/houses-apartments-for-sale/3bdrm-apartment-in-iregi-square-parklands-highridge-for-sale-5alKQ26EaGovEe85pATRFlJk.html?page=1&pos=22&cur_pos=22&ads_per_page=24&ads_count=3585&lid=fPzPVK1VChoqHPwr&indexPosition=21
11bdrm House in Ridgeways for sale,"KSh 64,000,000",https://jiji.co.ke/ridgeways/houses-apartments-for-sale/11bdrm-house-in-ridgeways-for-sale-3P0yMMX0mkHMEBLq4QMrgllT.html?page=1&pos=2&cur_pos=2&ads_per_page=24&ads_count=3585&lid=fPzPVK1VChoqHPwr&indexPosition=1
"3bdrm House in Tabasamu Annex, Kalimoni for sale","KSh 7,500,000",https://jiji.co.ke/kalimoni/houses-apartments-for-sale/3bdrm-house-in-tabasamu-annex-kalimoni-for-sale-fx7tZOoNtXyf3rPWPYaaWbt3.html?page=1&pos=5&cur_pos=5&ads_per_page=24&ads_count=3585&lid=fPzPVK1VChoqHPwr&indexPosition=4
"3bdrm House in Paradise Park Estate, Kinanie for sale","KSh 10,500,000",https://jiji.co.ke/kinanie/houses-apartments-for-sale/3bdrm-house-in-paradise-park-estate-kinanie-for-sale-xaarlMYpBbczBIXrhN3HNMgx.html?page=1&pos=8&cur_pos=8&ads_per_page=24&ads_count=3585&lid=fPzPVK1VChoqHPwr&indexPosition=7
